1002 utilidades,6
4 Estações Turismo,2
Academia Planeta Korpo,3
Academia Ritmo Vital,3
ADM Oficina e Chapeação,7
Agrinorte Comercio de Maquinas Ltda,4
Airton Moretti Imóveis,3
Alca Comércio de Máquinas Ltda,3
Alvostur Turismo,2
Amanda Modas e Bazar,2
APP da Escola de Educação Básica Eliseu Guilherme,0
Aquantica Confecção,8
Arns Materiais de Construção,4
ART PEL PRESENTES E PAPELARIA,3
Associação Atiradores Rafaell II,2
Associação Atlética Banco do Brasil,2
Associação De Bombeiros Voluntários De Ibirama,20
Associação de moradores bairro bela vista ibirama,0
Associação dos Aposentados e Pensionistas Ibirama,4
Associação dos Func e Munic de Ibirama,2
Auto Elétrica Ibirama,10
Auto Escola Alto Vale de Ibirama,4
Auto Mecanica Koepsel,9
Auto Peças Mecânica e Elétrica Globo,5
Auto Posto Dalbergia,7
Auto Serviços Gross,3
Auto Viação Catarinense,2
Autoya Corretora de Seguros Ltda,3
B U B U T E X,9
Badal Confecções Ltda - ME,10
Baiuca's Lanches,5
Banco Bradesco,20
Banco do Brasil,25
Baucke Motos,4
Belos Vales,10
Bichinho Fiel,5
BM Motopecas e serviços multimarcas Ltda,6
Bonin Recauchutadora de Pneus Ltda,15
"Butzen, Luiz A",5
Café Ouro,20
Caixa Econômica Federal,25
Campo Da Omil,2
Carcime Comércio Materiais Construção - Hipermac,15
Casa Agrícola Leomar Mohr,4
Casa do Artesanato de Ibirama,2
Casan-Companhia Catarinense de Água e Saneamento,13
Cava e Cava Metalúrgica LTDA,5
CDL Ibirama,4
CEI RUTH SCHLEI,16
CELESC - Centrais Elétricas de Santa Catarina,14
CENTRAL MED - CLÍNICO GERAL & ULTRASSONOGRAFIA,6
Centro de Educação Infantil Abelhinha Feliz,24
Centro de Educação Infantil Florinda Zemke dos Santos,15
Centro de Educação Infantil Lidi Brodwolf,20
Centro de Educação Infantil Siegolf Radloff,20
Centro de Formação de Condutores Radical Ltda,6
Chapeaçao e Pintura Andrade,4
Claudia Daniela Roza Mallet de Souza,6
Click Geradores,8
Clínica Herweg,5
